X,Y
2.18,0.221275628
2.19,0.157186508
2.2,9.67E-02
2.21,4.02E-02
2.22,-1.22E-02
2.23,-6.01E-02
2.24,-0.1032511
2.25,-0.141517222
2.26,-0.174690902
2.27,-0.202620387
2.28,-0.225184262
2.29,-0.242291152
2.3,-0.253881216
2.31,-0.259925783
2.32,-0.260427952
2.33,-0.255422235
2.34,-0.244974613
2.35,-0.229182065
2.36,-0.208171904
2.37,-0.182101369
2.38,-0.151155591
2.39,-0.115549803
2.4,-7.55E-02
2.41,-3.13E-02
2.42,1.67E-02
2.43,6.83E-02
2.44,0.123126745
2.45,0.180821538
2.46,0.241021544
2.47,0.303345799
2.48,0.367400706
2.49,0.432782769
2.5,0.499080569
2.51,0.565877378
2.52,0.632753193
2.53,0.699287295
2.54,0.765060484
2.55,0.829657733
2.56,0.892670035
2.57,0.953697145
2.58,1.01234961
2.59,1.06825125
2.6,1.12104082
2.61,1.17037416
2.62,1.21592665
2.63,1.25739515
2.64,1.29449677
2.65,1.32697546
2.66,1.35460019
2.67,1.37716675
2.68,1.3944993
2.69,1.40645099
2.7,1.41290498
2.71,1.41377544
2.72,1.40900707
2.73,1.39857662
2.74,1.3824923
2.75,1.36079359
2.76,1.33355176
2.77,1.30086875
2.78,1.26287699
2.79,1.21973848
2.8,1.17164409
2.81,1.11881208
2.82,1.06148767
2.83,0.999940574
2.84,0.934464574
2.85,0.865374923
2.86,0.793007493
2.87,0.717716098
2.88,0.639868975
2.89,0.559854269
2.9,0.478066653
2.91,0.394912422
2.92,0.31080538
2.93,0.226164609
2.94,0.14141205
2.95,5.70E-02
2.96,-2.67E-02
2.97,-0.10930343
2.98,-0.190308884
2.99,-0.269355893
3,-0.346054494
3.01,-0.42002821
3.02,-0.490915686
3.03,-0.558373272
3.04,-0.622076511
3.05,-0.681722164
3.06,-0.73702985
3.07,-0.787743568
3.08,-0.833633363
3.09,-0.874496162
3.1,-0.910157502
3.11,-0.940472007
3.12,-0.965324342
3.13,-0.984630466
3.14,-0.998336077
3.15,-1.00642002
3.16,-1.00889182
3.17,-1.00579298
3.18,-0.997196019
3.19,-0.983204544
3.2,-0.963952363
3.21,-0.939602911
3.22,-0.910348117
3.23,-0.876407564
3.24,-0.83802712
3.25,-0.795477569
3.26,-0.749053061
3.27,-0.69906944
3.28,-0.645862639
3.29,-0.58978641
3.3,-0.531210721
3.31,-0.470519543
3.32,-0.408108532
3.33,-0.344383031
3.34,-0.279755592
3.35,-0.214643747
3.36,-0.149467707
3.37,-8.46E-02
3.38,-2.06E-02
3.39,4.23E-02
3.4,0.10351783
3.41,0.162786365
3.42,0.219675153
3.43,0.273811132
3.44,0.324836969
3.45,0.37241289
3.46,0.416218758
3.47,0.455955684
3.48,0.491347879
3.49,0.522144198
3.5,0.548119545
3.51,0.569075942
3.52,0.584844112
3.53,0.595283866
3.54,0.600285292
3.55,0.599769354
3.56,0.59368813
3.57,0.582025111
3.58,0.564795732
3.59,0.542046607
3.6,0.513855815
3.61,0.480332136
3.62,0.441614777
3.63,0.397871047
3.64,0.349300086
3.65,0.296125531
3.66,0.238597721
3.67,0.176992178
3.68,0.111607432
3.69,4.28E-02
3.7,-2.92E-02
3.71,-0.103925198
3.72,-0.181038648
3.73,-0.260153323
3.74,-0.34087038
3.75,-0.422781885
3.76,-0.50547266
3.77,-0.58852303
3.78,-0.671510935
3.79,-0.754014194
3.8,-0.835613132
3.81,-0.915892899
3.82,-0.994445562
3.83,-1.07087266
3.84,-1.14478743
3.85,-1.2158165
3.86,-1.28360295
3.87,-1.34780729
3.88,-1.40811121
3.89,-1.46421397
3.9,-1.5158422
3.91,-1.56274581
3.92,-1.60470128
3.93,-1.64151192
3.94,-1.67300999
3.95,-1.69905734
3.96,-1.71954548
3.97,-1.73439753
3.98,-1.74356723
3.99,-1.74704051
4,-1.74483418
4.01,-1.73699689
4.02,-1.72360921
4.03,-1.70478082
4.04,-1.68065429
4.05,-1.65139747
4.06,-1.61721206
4.07,-1.57832062
4.08,-1.53497887
4.09,-1.48745918
4.1,-1.43606567
4.11,-1.38111424
4.12,-1.32295084
4.13,-1.26192796
4.14,-1.19842482
4.15,-1.13282299
4.16,-1.06552696
4.17,-0.99693799
4.18,-0.927476883
4.19,-0.857555926
4.2,-0.787602603
4.21,-0.718031049
4.22,-0.649265647
4.23,-0.581712961
4.24,-0.515784979
4.25,-0.451871693
4.26,-0.390360296
4.27,-0.331623852
4.28,-0.276010871
4.29,-0.223862827
4.3,-0.175490737
4.31,-0.131193578
4.32,-9.12E-02
4.33,-5.59E-02
4.34,-2.53E-02
4.35,2.36E-04
4.36,2.06E-02
4.37,3.57E-02
4.38,4.54E-02
4.39,4.96E-02
4.4,4.83E-02
4.41,4.15E-02
4.42,2.91E-02
4.43,1.14E-02
4.44,-1.18E-02
4.45,-4.02E-02
4.46,-7.37E-02
4.47,-0.112173259
4.48,-0.155352771
4.49,-0.203030646
4.5,-0.254955709
4.51,-0.310845733
4.52,-0.370395005
4.53,-0.433285117
4.54,-0.499166876
4.55,-0.567685843
4.56,-0.638459444
4.57,-0.711105227
4.58,-0.785215855
4.59,-0.860389352
4.6,-0.936202765
4.61,-1.01224375
4.62,-1.08808339
4.63,-1.16330779
4.64,-1.23749161
4.65,-1.31022942
4.66,-1.38110876
4.67,-1.44974101
4.68,-1.51573658
4.69,-1.57873273
4.7,-1.63837075
4.71,-1.69432187
4.72,-1.7462666
4.73,-1.79391789
4.74,-1.83700252
4.75,-1.87528098
4.76,-1.90853417
4.77,-1.9365716
4.78,-1.95923519
4.79,-1.97639227
4.8,-1.98794365
4.81,-1.99381888
4.82,-1.99398041
4.83,-1.98842156
4.84,-1.97716689
4.85,-1.96027398
4.86,-1.93782914
4.87,-1.9099524
4.88,-1.87678981
4.89,-1.83852196
4.9,-1.79535079
4.91,-1.74751306
4.92,-1.69526267
4.93,-1.63888741
4.94,-1.57868695
4.95,-1.51499355
4.96,-1.44814634
4.97,-1.37851429
4.98,-1.30646861
4.99,-1.23240662
5,-1.15672314
5.01,-1.07983136
5.02,-1.00215185
5.03,-0.9240973
5.04,-0.846096933
5.05,-0.768564582
5.06,-0.691925287
5.07,-0.616584182
5.08,-0.542952895
5.09,-0.471418917
5.1,-0.402371168
5.11,-0.336170495
5.12,-0.273174405
5.13,-0.213709474
5.14,-0.158093452
5.15,-0.106611192
5.16,-5.95E-02
5.17,-1.71E-02
5.18,2.05E-02
5.19,5.30E-02
5.2,8.03E-02
5.21,0.102340162
5.22,0.118911088
5.23,0.129988074
5.24,0.135534883
5.25,0.135548413
5.26,0.130056262
5.27,0.119118452
5.28,0.10282445
5.29,8.13E-02
5.3,5.47E-02
5.31,2.32E-02
5.32,-1.30E-02
5.33,-5.37E-02
5.34,-9.86E-02
5.35,-0.147370458
5.36,-0.199767649
5.37,-0.255443394
5.38,-0.314056277
5.39,-0.375237316
5.4,-0.438613951
5.41,-0.503788948
5.42,-0.5703668
5.43,-0.637931168
5.44,-0.706072569
5.45,-0.774364769
5.46,-0.842393517
5.47,-0.909732342
5.48,-0.97597146
5.49,-1.04069388
5.5,-1.10350347
5.51,-1.1640048
5.52,-1.22181582
5.53,-1.27657723
5.54,-1.32793593
5.55,-1.37556744
5.56,-1.41915858
5.57,-1.45842719
5.58,-1.49310732
5.59,-1.52296519
5.6,-1.5477879
5.61,-1.56739557
5.62,-1.58163309
5.63,-1.59037828
5.64,-1.59353757
5.65,-1.59104943
5.66,-1.58288383
5.67,-1.56904113
5.68,-1.54955554
5.69,-1.5244894
5.7,-1.49394035
5.71,-1.4580313
5.72,-1.41692138
5.73,-1.3707912
5.74,-1.31985784
5.75,-1.26435542
5.76,-1.2045511
5.77,-1.14073646
5.78,-1.07321644
5.79,-1.00232852
5.8,-0.928416252
5.81,-0.851853371
5.82,-0.773014069
5.83,-0.692299724
5.84,-0.610107064
5.85,-0.526856184
5.86,-0.442957282
5.87,-0.358839691
5.88,-0.27491799
5.89,-0.191621304
5.9,-0.109359086
5.91,-2.86E-02
5.92,5.04E-02
5.93,0.127119452
5.94,0.201208711
5.95,0.272305042
5.96,0.340067595
5.97,0.404161215
5.98,0.464284033
5.99,0.520144939
6,0.571488023
6.01,0.618074715
6.02,0.659694433
6.03,0.696170092
6.04,0.727346897
6.05,0.753105879
6.06,0.773353457
6.07,0.788031399
6.08,0.797109902
6.09,0.800592661
6.1,0.798514009
6.11,0.790939629
6.12,0.777967155
6.13,0.75972271
6.14,0.736365259
6.15,0.708078444
6.16,0.67507869
6.17,0.637603164
6.18,0.59592092
6.19,0.550317407
6.2,0.50110817
6.21,0.44862026
6.22,0.393208772
6.23,0.335235178
6.24,0.275086015
6.25,0.213148922
6.26,0.149830103
6.27,8.55E-02
6.28,2.07E-02
6.29,-4.43E-02
6.3,-0.108963512
6.31,-0.17294544
6.32,-0.235809922
6.33,-0.297142446
6.34,-0.356548727
6.35,-0.413634002
6.36,-0.468027651
6.37,-0.519363582
6.38,-0.567303002
6.39,-0.611516893
6.4,-0.651705801
6.41,-0.687585175
6.42,-0.718901873
6.43,-0.745422125
6.44,-0.766944647
6.45,-0.783291757
6.46,-0.794318616
6.47,-0.799907804
6.48,-0.799974084
6.49,-0.794462919
6.5,-0.783350587
6.51,-0.766645789
6.52,-0.744389653
6.53,-0.716651559
6.54,-0.68353647
6.55,-0.645173907
6.56,-0.60172987
6.57,-0.553391218
6.58,-0.50038147
6.59,-0.442940533
6.6,-0.381344199
6.61,-0.315880328
6.62,-0.246870905
6.63,-0.174645036
6.64,-9.96E-02
6.65,-2.20E-02
6.66,5.77E-02
6.67,0.139069781
6.68,0.221752867
6.69,0.305327445
6.7,0.389366478
6.71,0.473456085
6.72,0.557165861
6.73,0.640083313
6.74,0.721784234
6.75,0.80186677
6.76,0.879926085
6.77,0.955569029
6.78,1.02842629
6.79,1.09813023
6.8,1.16434371
6.81,1.22673655
6.82,1.28501165
6.83,1.3388834
6.84,1.38810134
6.85,1.43243122
6.86,1.47167468
6.87,1.50565374
6.88,1.53422678
6.89,1.55727625
6.9,1.57472014
6.91,1.58650422
6.92,1.59260798
6.93,1.59304118
6.94,1.5878458
6.95,1.57709515
6.96,1.56089234
6.97,1.5393734
6.98,1.51269996
6.99,1.48106706
7,1.4446919
7.01,1.40382195
7.02,1.35873079
7.03,1.30970883
7.04,1.25707698
7.05,1.20116651
7.06,1.14233708
7.07,1.08095336
7.08,1.01740563
7.09,0.952083707
7.1,0.885399699
7.11,0.81776005
7.12,0.749589086
7.13,0.681300879
7.14,0.613322616
7.15,0.546066403
7.16,0.479952723
7.17,0.415382475
7.18,0.352760017
7.19,0.292466164
7.2,0.234879851
7.21,0.180353284
7.22,0.129231393
7.23,8.18E-02
7.24,3.85E-02
7.25,-6.30E-04
7.26,-3.52E-02
7.27,-6.49E-02
7.28,-8.97E-02
7.29,-0.109350562
7.3,-0.123713017
7.31,-0.132683039
7.32,-0.136182189
7.33,-0.134162009
7.34,-0.126605868
7.35,-0.113529503
7.36,-9.50E-02
7.37,-7.10E-02
7.38,-4.18E-02
7.39,-7.42E-03
7.4,3.19E-02
7.41,7.61E-02
7.42,0.12480104
7.43,0.177814066
7.44,0.2348634
7.45,0.295645297
7.46,0.359845817
7.47,0.427119255
7.48,0.497114718
7.49,0.569452524
7.5,0.643752754
